label	11.s11	12.s12	14.s14	20.s20	23.s23	28.s28	32.s32	34.s34	3.s3	5.s5	6.s6	13.s13	15.s15	16.s16	17.s17	22.s22	24.s24	25.s25	29.s29	30.s30	31.s31	33.s33	7.s7	8.s8
Bacteroidales S24-7 group_uncultured bacterium	24.24	28.04	14.43	24.49	19.25	35.16	20.79	15.78	16.3	7.77	11.34	14.89	21.17	19.98	12.12	19.53	23.19	26.86	14.22	23.59	31.33	19.04	22.64	21.56
Bacteroidales S24-7 group_unidentified	9.48	0.26	9.45	5.55	6.62	0.11	8.09	2.79	11.18	8.34	2.41	0.34	7.5	0.05	6.17	5.98	8.85	0.45	10.8	0.09	4.34	7.05	0.04	0.1
Bacteroides	1.38	3.86	1.6	2.45	6.7	3.03	1.86	0.26	0.87	0.78	3.7	2.37	1.24	2.23	1.11	1.3	2.44	2.92	0.88	2.63	1.82	0.59	3.78	2.37
Bifidobacterium	0	0	0	0	0	0	0	0	0.23	0	0.03	0	0	0	0	0	0	0	0.01	0	0	0	0	0
Bilophila	0	0.57	0.92	1.27	0.02	0.35	1.18	2.38	0	0.65	0.24	0.12	0.22	1.55	2.23	1.57	1.95	1.72	0.44	0.65	2.39	0.56	0.47	0.86
Blautia	0.5	4.25	0.01	1.88	0.8	3.42	7.32	0.61	1.48	0.28	5.89	0.24	0.12	0.71	1.53	2.64	0.75	1.28	0.32	2.31	0.07	0.31	0.86	1.03
Candidatus_Arthromitus	0.01	0.04	0.04	0	0.01	0	0	0	0.06	0	0	0	0.08	0	0.01	0.01	0	0.01	0.01	0	0.01	0	0.02	0
Candidatus_Saccharimonas	0.1	0.02	0	0.17	0.02	0	0.02	0.11	0	0.03	0.03	0.04	0.04	0.05	0.01	0.03	0.04	0.09	0.08	0.04	0	0.08	0	0.03
Christensenellaceae_R7_group	0.44	0.05	0.12	0.11	0.46	0.01	0	0	1.1	0.02	0.31	0	0.05	0.03	0.48	0.02	0	0.02	0.13	0.01	0.37	0.03	0.16	0.05
Clostridiales vadinBB60 group_uncultured 	0	0	0	0	0	0	0	0	0.05	0.03	0.01	0.01	0	0.03	0	0.01	0.11	0.06	0	0	0.01	0	0.06	0
Clostridiales_unidentified	12.53	13.94	14.42	13.72	21.83	14.18	16.95	15.02	10.65	20.51	17.47	13.19	13.81	17.65	9.72	9.68	5.81	11.07	14.27	16.37	11.24	3.01	20.02	19.39
Coprococcus_1	0.33	0.03	0.01	0.19	0.02	0.12	0.04	0.08	0.15	0.4	0.72	0.03	0.72	0.8	0.09	0.28	0.04	0.18	0.27	0.03	0.08	0.03	0.29	0.17
Coriobacteriaceae_UCG002	0	0.05	0	0	0.11	0	0.03	0	0.12	0.02	0.02	0	0.03	0.01	0.05	0.01	0.02	0	0.02	0	0.02	0	0.04	0.03
Desulfovibrio	2.34	0	3.23	0	1.8	1.17	0	0	3.19	0	0.74	2.68	2.53	0.35	0.01	0	0	0	3.06	0	0	1.97	0.54	0
Eisenbergiella	0	0	0	0.01	0	0	0	0	0.07	0	0.06	0	0.06	0	0	0.09	0	0	0.01	0	0.01	0.01	0.05	0
Enterorhabdus	0.08	0.09	0.06	0.09	0.03	0.21	0.08	0.06	0.2	0.24	0.09	0.05	0.06	0.11	0.05	0.09	0.03	0.04	0.06	0.03	0.06	0.01	0.1	0.12
Erysipelatoclostridium	0.04	0	0.6	0.02	0.33	0	0	0.02	0.96	0.22	0.26	0.02	0	0.02	0.05	0.05	0.47	0.02	0.02	0	0.32	0.01	0.12	0.09
Erysipelotrichaceae_UCG004	0.13	0	0.06	0.01	0.1	0	0	0	0.12	0.03	0.11	0.02	0.09	0.02	0.05	0.03	0.08	0.04	0.05	0	0.07	0.04	0.02	0.05
Eubacterium_coprostanoligenes_group	0.06	0.01	0.11	2.53	0.32	0.84	0.19	0.04	1.33	1.18	0.3	0.88	0.37	0.44	0.29	0.14	0.43	0.06	0.55	0.65	0	0.42	0.01	0.39
Family_XIII_AD3011_group	0.03	0.02	0.04	0.03	0	0.02	0.01	0.01	0.06	0.01	0.02	0.06	0	0.01	0.07	0.02	0.01	0.03	0.04	0	0.14	0.04	0.09	0.06
Family_XIII_UCG001	0.03	0.03	0	0.01	0	0.02	0.01	0.01	0	0.07	0.03	0	0.01	0.01	0.01	0.02	0.01	0.01	0	0.01	0.01	0.01	0	0.01
Flavonifractor	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0.04	0	0	0
Gastranaerophilales_uncultured bacterium	0.88	0.01	0.47	0.52	0.43	0.72	0.82	0.46	0.29	0.13	0.33	0.22	2.87	0.54	2.22	0.34	1.99	2.19	0.26	2.13	0.59	0.94	0.12	0.01
Gastranaerophilales_uncultured organism	0.16	0.02	0.05	0.02	0	0.04	0.04	0	0	0	0.16	0	0.95	0.15	0.28	0.08	0.04	0.42	0.11	0.02	0	0.01	0.02	0.06
Helicobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.88
Intestinimonas	0.5	0.37	0.07	0.33	0.51	0.4	0.29	0.82	0.01	0.02	0.1	0.63	0.62	0.79	0.11	0.06	0	0.49	0.23	0.17	0.16	0.06	0.04	0.1
Lachnoclostridium	0.54	0.69	0.71	0.59	0.57	1.03	0.7	0.8	0.61	1.2	1.5	0.27	1.77	2.16	0.6	2.68	0.15	0.55	1.1	0.65	0.59	0.25	1.34	1.21
Lachnospiraceae_FCS020_group	0.11	0.03	0.03	0.07	0.11	0.1	0.02	0.12	0.07	0.06	0.1	0.04	0.09	0.21	0.06	0.05	0.02	0.09	0.03	0.01	0.1	0.01	0.12	0.07
Lachnospiraceae_NC2004_group	0.01	0.15	0	0.01	0	0.22	0.04	0	0.01	0.01	0.09	0.02	0.11	0.12	0	0	0	0	0.01	0.02	0	0.01	0	0
Lachnospiraceae_NK4A136_group	16.64	15.04	9.64	22.21	6.4	15.19	9.87	23.45	11.21	19.94	6.65	34.38	12.68	22.71	14.35	31.21	3.33	19.96	13.7	18.92	22.79	29.53	13.55	8.66
Lachnospiraceae_UCG001	0.01	1.5	0	0.13	0	1.19	0.83	3.82	0.02	0.02	1.92	0	0	0.05	0	0.02	0.01	0.08	0.08	0.46	0	0.03	0	1.15
Lachnospiraceae_UCG005	0.1	0.1	0	0.02	0.01	0.06	0.05	0.02	0	0	0.01	0	0.03	0.05	0	0.05	0.13	0.28	0.03	0.01	0.01	0	0.01	0
Lachnospiraceae_UCG006	1.74	1.79	0.6	1.55	0.76	2.39	4.41	1.24	1.23	1.43	1.52	1.23	0.72	0.5	0.57	0.46	0.43	0.83	0.68	4.23	1.11	0.29	2.34	2.09
Lachnospiraceae_UCG008	0.49	6.42	0.01	1.02	0.12	0.41	5.53	3.12	0.07	0.3	0.34	0.46	1.14	0.28	0.43	0.55	0.25	0.22	0.41	7.81	0.36	0.17	0.16	0.42
Lachnospiraceae_unidentified	1.1	0.02	0.49	0.02	0.02	0.1	0.11	0.02	0.02	0.05	0.04	0.11	0.2	0.18	0.02	0.64	0.4	0.2	0.22	0.08	0	0.01	0.08	0.05
Lactobacillus	0.54	0.11	0.16	0.12	0.09	0.04	0.07	0	0.03	0.47	0.03	0.09	0.22	0.05	0.01	0.14	0.22	0	0.1	0.09	0.05	0	0.13	0.01
Marvinbryantia	0.01	0.05	0	0.17	0.03	0.6	0.15	0.03	0.05	0	0.09	0.02	0.01	0	0	0.03	0	0.01	0.01	0.08	0	0	0.35	0.11
Mucispirillum	0.82	0.95	1.27	0.42	0	0.08	0.56	0.65	0	0	0.52	0.38	0.43	0.74	0	0.39	0.7	0	0.65	0.33	0.26	0.24	0	0.56
Odoribacter	1	0.85	0	1.67	1.01	1.38	1.79	0.86	2.26	0.89	0.99	1.17	1.74	2.24	0.91	1.42	0.77	0.64	0	1.33	1.49	0.73	2.31	2.11
Oscillibacter	2.23	3.59	2.68	2.39	3.42	2.3	3.97	3.32	1.13	0.34	3.28	3.73	4.82	3.55	1.32	2.09	0.09	3.56	2.12	3.5	1.06	2.85	1.8	4.81
Parabacteroides	0.1	0.04	2.85	0.04	0.22	0.02	0.03	0.04	0.61	0.01	0.65	0.35	0.07	0.07	1.29	0.44	1.89	0.03	0.01	0.06	0.67	1.55	1.7	0.16
Parasutterella	0.22	0.01	1.56	0.06	0.76	0.1	0.18	0.08	1.04	0.34	0.35	0.02	0.02	0	1.21	0.94	2.23	0.41	0.02	0.02	0.87	0.75	0.03	0.03
Peptococcus	0.01	0.1	0	0.13	0	0.03	0.06	0.08	0.01	0.04	0.05	0.06	0.08	0.09	0	0.12	0	0.09	0.08	0.06	0.09	0.07	0.08	0.06
Prevotellaceae_NK3B31_group	0	0	0	0	0	0	0	0.83	0.73	5.16	0	2.45	0	0	0.86	0	0	0	2.16	0	0	0	1.26	1.28
Prevotellaceae_UCG001	0.78	0.05	5.28	0.23	0.93	0.01	0.06	0.2	1.4	0.57	0.21	0.42	1.72	0.26	3.54	1.14	2.84	1.31	0.87	0.13	2.47	4.22	0.06	0.1
Pseudobutyrivibrio	0	0	0	0.01	0	0	0	0	0	0	0	0	0.04	0.03	0	0.22	0	0	0.04	0	0	0	0	0
Rhodococcus	0.01	0.08	0	0.01	0	0	0.01	0.04	0.01	0	0.01	0.03	0	0	0	0.01	0.02	0.02	0	0.01	0.01	0	0.04	0
Rikenellaceae_RC9_gut_group	0.05	0.23	0.27	0.27	0.21	0.13	0.13	0.06	1.47	0.58	0.35	1.27	0.1	0.36	5.29	0.06	1.01	0.08	0.44	0.07	0.34	0.16	0.44	0.38
Roseburia	0.29	0.13	0.15	0.13	0.02	1.08	0.16	0.13	0.06	0.04	0.19	0.08	0.19	0.24	0.04	0.12	0.01	0.32	0.29	0.16	0.02	0.01	1.78	0.18
Ruminiclostridium	0.26	0.12	0	0.34	0	0.48	0.21	0.06	0.04	0.01	0.32	0.3	0.19	0.33	0	0.18	0.02	0.18	0.26	0.34	0.06	0.04	0.05	0.25
Ruminiclostridium_5	0.96	0.7	0.21	0.58	0.74	0.46	0.67	0.48	3.86	2.13	1.03	0.43	1.01	0.81	0.38	0.64	2.07	0.34	0.94	0.45	0.7	0.41	0.79	1.36
Ruminiclostridium_6	0.09	0.01	0	0.06	1.34	0.03	0.01	0.01	0.45	0.02	0.11	0	0.09	0	0	0.02	0	0.04	2.14	0	0.01	0.15	0.23	0
Ruminiclostridium_9	3.48	3.48	3.11	3.92	2.05	4.11	2.83	5.75	2.53	5.41	3.57	4.43	3.81	2.81	4.5	2.71	1.31	4.43	3.31	2.13	3.68	1.92	4.83	5.01
Ruminococcaceae_NK4A214_group	0.16	0.17	0.06	0.14	0.02	0.26	0.19	0.02	0.08	0.06	0.14	0.05	0.19	0.16	0.18	0.07	0.03	0.09	0.17	0.12	0.1	0.02	0.06	0.05
Ruminococcaceae_UCG005	0.24	0.04	0.26	0.17	0	0.11	0.02	0.04	0.2	0.01	0.06	0.01	0.32	0.11	0.1	0.02	0.28	0.06	0.38	0.02	0.2	0.03	0.1	0.03
Ruminococcaceae_UCG009	0.12	0.05	0	0.11	0.08	0.11	0.07	0.15	0	0.02	0.1	0	0.13	0.06	0.04	0	0	0.13	0.09	0.09	0.17	0	0.09	0.09
Ruminococcaceae_UCG010	0.05	0.01	0.01	0.03	0.09	0.01	0.01	0	0.22	0.08	0.02	0.01	0.04	0.02	0.05	0.07	0.06	0.05	0.03	0.01	0.06	0.01	0.07	0
Ruminococcaceae_UCG013	0.31	0.02	0	0.02	0	0.01	0	0.01	0.01	0	0	0	0.02	0.01	0	0	0	0	0	0	0	0.01	0.06	0.01
Ruminococcaceae_UCG014	0.69	0.12	0.01	0.25	1.13	0.16	0.04	0.03	5.45	0.54	0.03	0.11	1.05	0.46	0.15	0.6	2.26	0.15	0.6	0.06	0.82	1.15	0.61	0.19
Ruminococcus_1	0	0	0	0.01	0	0	0	0	0.52	0	0	0	0.02	0	0	0.12	0	0	0	0	0	0	0	0
Thalassospira	0.08	0.02	0.45	0.03	0.65	0	0.03	0	0.28	0.02	0.37	0.6	0.27	0.19	0.16	0.05	1.6	0.34	0.29	0.02	0.08	1.38	0.02	0.14
Turicibacter	0	0	0	0	0	0	0	0.01	0	0	0	0.12	0	0	0	0.11	0	0	0	0	0	0	0	0
Tyzzerella	0.06	0.06	0.28	0.04	0.21	0.03	0.03	0.17	0.28	0.06	0.1	0.25	0.15	0.13	0.64	0.31	0.05	0.24	0.08	0.03	0.31	0.36	0.32	0.04
